"X","Number.of.Homicide.Convictions","Percentage.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Percentage.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Percentage.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Percentage.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Percentage.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Percentage.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Percentage.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Percentage.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Percentage.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Percentage.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Percentage.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Percentage.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Percentage.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Percentage.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Percentage.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Percentage.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Percentage.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Percentage.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Percentage.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Percentage.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Percentage.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Percentage.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Percentage.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Percentage.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful","Percentage.of.L.Motoring.Offences.Unsuccessful","year","month"
"Leicestershire",5,"100.0%",0,"0.0%","148","77.1%","44","22.9%","18","72.0%",7,"28.0%","20","90.9%",2,"9.1%",6,"75.0%",2,"25.0%","108","90.0%","12","10.0%","12","85.7%",2,"14.3%","22","71.0%",9,"29.0%","31","91.2%",3,"8.8%","54","85.7%",9,"14.3%","12","92.3%",1,"7.7%","97","87.4%","14","12.6%","19","100.0%","2016","january"
"Lincolnshire",0,"-",0,"-","116","81.7%","26","18.3%","9","81.8%",2,"18.2%","15","88.2%",2,"11.8%",2,"100.0%",0,"0.0%","102","85.7%","17","14.3%","8","80.0%",2,"20.0%","27","96.4%",1,"3.6%","29","96.7%",1,"3.3%","41","77.4%",12,"22.6%","15","83.3%",3,"16.7%","104","86.7%","16","13.3%","12","100.0%","2016","january"
"Merseyside",1,"100.0%",0,"0.0%","423","86.2%","68","13.8%","39","81.3%",9,"18.8%","27","93.1%",2,"6.9%",8,"80.0%",2,"20.0%","254","96.9%","8","3.1%","34","89.5%",4,"10.5%","48","90.6%",5,"9.4%","199","95.2%",10,"4.8%","100","81.3%",23,"18.7%","19","82.6%",4,"17.4%","191","86.0%","31","14.0%","15","100.0%","2016","january"
"Metropolitan and City",15,"78.9%",4,"21.1%","1,802","70.4%","759","29.6%","127","69.4%",56,"30.6%","208","75.9%",66,"24.1%",110,"71.4%",44,"28.6%","1,043","84.2%","196","15.8%","259","82.7%",54,"17.3%","289","83.0%",59,"17.0%","1,101","92.0%",96,"8.0%","541","74.1%",189,"25.9%","158","82.3%",34,"17.7%","1,118","73.2%","409","26.8%","199","100.0%","2016","january"
"Norfolk",0,"-",0,"-","175","78.1%","49","21.9%","15","100.0%",0,"0.0%","10","100.0%",0,"0.0%",3,"100.0%",0,"0.0%","99","90.0%","11","10.0%","15","83.3%",3,"16.7%","34","91.9%",3,"8.1%","66","95.7%",3,"4.3%","78","89.7%",9,"10.3%","10","83.3%",2,"16.7%","99","87.6%","14","12.4%","12","100.0%","2016","january"
"Northamptonshire",1,"50.0%",1,"50.0%","130","78.8%","35","21.2%","2","50.0%",2,"50.0%","13","86.7%",2,"13.3%",1,"33.3%",2,"66.7%","100","91.7%","9","8.3%","6","85.7%",1,"14.3%","22","62.9%",13,"37.1%","35","92.1%",3,"7.9%","23","71.9%",9,"28.1%","9","100.0%",0,"0.0%","98","84.5%","18","15.5%","10","100.0%","2016","january"
"Northumbria",1,"50.0%",1,"50.0%","362","74.8%","122","25.2%","25","75.8%",8,"24.2%","44","78.6%",12,"21.4%",10,"76.9%",3,"23.1%","412","92.0%","36","8.0%","27","77.1%",8,"22.9%","101","78.9%",27,"21.1%","140","94.6%",8,"5.4%","196","82.7%",41,"17.3%","27","96.4%",1,"3.6%","211","88.7%","27","11.3%","18","100.0%","2016","january"
"North Wales",0,"-",0,"-","173","85.6%","29","14.4%","13","65.0%",7,"35.0%","11","78.6%",3,"21.4%",3,"100.0%",0,"0.0%","122","93.8%","8","6.2%","9","100.0%",0,"0.0%","55","84.6%",10,"15.4%","42","89.4%",5,"10.6%","68","88.3%",9,"11.7%","12","92.3%",1,"7.7%","114","83.2%","23","16.8%","4","100.0%","2016","january"
"North Yorkshire",1,"100.0%",0,"0.0%","116","81.7%","26","18.3%","5","83.3%",1,"16.7%","18","100.0%",0,"0.0%",7,"100.0%",0,"0.0%","97","95.1%","5","4.9%","13","100.0%",0,"0.0%","36","92.3%",3,"7.7%","32","97.0%",1,"3.0%","56","91.8%",5,"8.2%","12","85.7%",2,"14.3%","120","93.0%","9","7.0%","5","100.0%","2016","january"
"Nottinghamshire",1,"100.0%",0,"0.0%","255","75.2%","84","24.8%","41","83.7%",8,"16.3%","30","90.9%",3,"9.1%",3,"50.0%",3,"50.0%","197","90.8%","20","9.2%","9","52.9%",8,"47.1%","55","82.1%",12,"17.9%","122","93.8%",8,"6.2%","81","78.6%",22,"21.4%","14","87.5%",2,"12.5%","167","89.3%","20","10.7%","26","100.0%","2016","january"
"South Wales",1,"100.0%",0,"0.0%","393","78.9%","105","21.1%","15","55.6%",12,"44.4%","54","88.5%",7,"11.5%",6,"85.7%",1,"14.3%","270","96.8%","9","3.2%","36","90.0%",4,"10.0%","64","88.9%",8,"11.1%","152","96.8%",5,"3.2%","129","87.8%",18,"12.2%","6","75.0%",2,"25.0%","213","82.2%","46","17.8%","15","100.0%","2016","january"
"South Yorkshire",1,"100.0%",0,"0.0%","219","81.1%","51","18.9%","1","50.0%",1,"50.0%","39","92.9%",3,"7.1%",11,"84.6%",2,"15.4%","263","94.9%","14","5.1%","13","92.9%",1,"7.1%","45","81.8%",10,"18.2%","89","97.8%",2,"2.2%","94","93.1%",7,"6.9%","17","85.0%",3,"15.0%","180","85.3%","31","14.7%","10","100.0%","2016","january"
"Staffordshire",1,"100.0%",0,"0.0%","238","81.8%","53","18.2%","23","69.7%",10,"30.3%","24","77.4%",7,"22.6%",4,"100.0%",0,"0.0%","143","89.4%","17","10.6%","9","81.8%",2,"18.2%","64","83.1%",13,"16.9%","83","96.5%",3,"3.5%","83","91.2%",8,"8.8%","10","83.3%",2,"16.7%","213","82.6%","45","17.4%","16","100.0%","2016","january"
"Suffolk",1,"100.0%",0,"0.0%","117","86.7%","18","13.3%","6","66.7%",3,"33.3%","8","72.7%",3,"27.3%",0,"0.0%",1,"100.0%","75","97.4%","2","2.6%","8","80.0%",2,"20.0%","23","85.2%",4,"14.8%","37","94.9%",2,"5.1%","41","93.2%",3,"6.8%","7","100.0%",0,"0.0%","100","95.2%","5","4.8%","7","100.0%","2016","january"
"Surrey",0,"-",0,"-","160","84.2%","30","15.8%","17","70.8%",7,"29.2%","12","100.0%",0,"0.0%",3,"42.9%",4,"57.1%","62","86.1%","10","13.9%","10","76.9%",3,"23.1%","18","90.0%",2,"10.0%","36","94.7%",2,"5.3%","18","85.7%",3,"14.3%","2","100.0%",0,"0.0%","105","91.3%","10","8.7%","8","100.0%","2016","january"
"Sussex",1,"100.0%",0,"0.0%","265","82.8%","55","17.2%","39","68.4%",18,"31.6%","23","69.7%",10,"30.3%",9,"69.2%",4,"30.8%","169","95.5%","8","4.5%","19","100.0%",0,"0.0%","44","81.5%",10,"18.5%","86","90.5%",9,"9.5%","72","85.7%",12,"14.3%","10","71.4%",4,"28.6%","200","91.7%","18","8.3%","20","100.0%","2016","january"
"Thames Valley",3,"75.0%",1,"25.0%","482","71.4%","193","28.6%","44","71.0%",18,"29.0%","56","76.7%",17,"23.3%",14,"70.0%",6,"30.0%","358","90.9%","36","9.1%","28","80.0%",7,"20.0%","72","82.8%",15,"17.2%","197","90.0%",22,"10.0%","114","78.6%",31,"21.4%","28","87.5%",4,"12.5%","310","84.9%","55","15.1%","23","100.0%","2016","january"
"Warwickshire",1,"50.0%",1,"50.0%","65","82.3%","14","17.7%","6","66.7%",3,"33.3%","10","90.9%",1,"9.1%",0,"0",0,"0","50","90.9%","5","9.1%","5","100.0%",0,"0.0%","7","70.0%",3,"30.0%","20","100.0%",0,"0.0%","32","88.9%",4,"11.1%","7","87.5%",1,"12.5%","98","79.7%","25","20.3%","5","100.0%","2016","january"
"West Mercia",1,"100.0%",0,"0.0%","231","79.7%","59","20.3%","18","66.7%",9,"33.3%","28","82.4%",6,"17.6%",3,"100.0%",0,"0.0%","126","98.4%","2","1.6%","13","76.5%",4,"23.5%","38","90.5%",4,"9.5%","65","95.6%",3,"4.4%","74","87.1%",11,"12.9%","12","92.3%",1,"7.7%","248","82.1%","54","17.9%","12","100.0%","2016","january"
"West Midlands",7,"63.6%",4,"36.4%","727","80.6%","175","19.4%","66","75.0%",22,"25.0%","68","88.3%",9,"11.7%",44,"81.5%",10,"18.5%","632","91.9%","56","8.1%","102","87.2%",15,"12.8%","132","89.2%",16,"10.8%","283","92.5%",23,"7.5%","278","83.0%",57,"17.0%","80","86.0%",13,"14.0%","349","84.1%","66","15.9%","83","100.0%","2016","january"
"West Yorkshire",5,"62.5%",3,"37.5%","472","78.8%","127","21.2%","48","72.7%",18,"27.3%","72","92.3%",6,"7.7%",18,"85.7%",3,"14.3%","313","89.7%","36","10.3%","40","93.0%",3,"7.0%","98","83.8%",19,"16.2%","135","91.2%",13,"8.8%","121","86.4%",19,"13.6%","19","90.5%",2,"9.5%","287","85.4%","49","14.6%","33","100.0%","2016","january"
"Wiltshire",1,"100.0%",0,"0.0%","113","83.7%","22","16.3%","10","76.9%",3,"23.1%","7","100.0%",0,"0.0%",3,"100.0%",0,"0.0%","81","90.0%","9","10.0%","13","92.9%",1,"7.1%","19","90.5%",2,"9.5%","27","100.0%",0,"0.0%","30","90.9%",3,"9.1%","4","66.7%",2,"33.3%","92","97.9%","2","2.1%","4","100.0%","2016","january"
"National",101,"74.3%",35,"25.7%","10,394","77.1%","3,087","22.9%","1,084","74.9%",363,"25.1%","1,159","85.9%",191,"14.1%",348,"77.2%",103,"22.8%","7,156","91.8%","637","8.2%","961","84.3%",179,"15.7%","1,831","84.5%",337,"15.5%","4,123","94.1%",260,"5.9%","3,245","83.7%",634,"16.3%","697","84.5%",128,"15.5%","7,150","84.4%","1,317","15.6%","803","100.0%","2016","july"
"Avon and Somerset",3,"33.3%",6,"66.7%","305","77.4%","89","22.6%","48","82.8%",10,"17.2%","35","92.1%",3,"7.9%",7,"87.5%",1,"12.5%","186","93.5%","13","6.5%","13","81.3%",3,"18.8%","51","87.9%",7,"12.1%","98","98.0%",2,"2.0%","73","88.0%",10,"12.0%","8","80.0%",2,"20.0%","203","86.4%","32","13.6%","35","100.0%","2016","july"
"Bedfordshire",3,"60.0%",2,"40.0%","83","83.8%","16","16.2%","7","77.8%",2,"22.2%","22","95.7%",1,"4.3%",3,"75.0%",1,"25.0%","41","85.4%","7","14.6%","6","100.0%",0,"0.0%","16","100.0%",0,"0.0%","31","93.9%",2,"6.1%","16","76.2%",5,"23.8%","4","66.7%",2,"33.3%","76","80.0%","19","20.0%","10","100.0%","2016","july"
"Cambridgeshire",0,"-",0,"-","138","84.1%","26","15.9%","10","83.3%",2,"16.7%","15","88.2%",2,"11.8%",4,"80.0%",1,"20.0%","85","96.6%","3","3.4%","3","100.0%",0,"0.0%","29","87.9%",4,"12.1%","36","97.3%",1,"2.7%","28","87.5%",4,"12.5%","7","100.0%",0,"0.0%","84","88.4%","11","11.6%","11","100.0%","2016","july"
"Cheshire",2,"100.0%",0,"0.0%","275","84.4%","51","15.6%","21","72.4%",8,"27.6%","14","73.7%",5,"26.3%",1,"33.3%",2,"66.7%","151","95.0%","8","5.0%","15","100.0%",0,"0.0%","40","87.0%",6,"13.0%","101","98.1%",2,"1.9%","95","91.3%",9,"8.7%","14","87.5%",2,"12.5%","201","91.8%","18","8.2%","6","100.0%","2016","july"
"Cleveland",1,"100.0%",0,"0.0%","148","77.5%","43","22.5%","11","91.7%",1,"8.3%","39","90.7%",4,"9.3%",5,"55.6%",4,"44.4%","210","93.3%","15","6.7%","11","100.0%",0,"0.0%","40","78.4%",11,"21.6%","75","96.2%",3,"3.8%","46","78.0%",13,"22.0%","14","73.7%",5,"26.3%","85","96.6%","3","3.4%","6","100.0%","2016","july"
"Cumbria",0,"-",0,"-","96","78.7%","26","21.3%","5","83.3%",1,"16.7%","9","90.0%",1,"10.0%",1,"100.0%",0,"0.0%","64","91.4%","6","8.6%","7","87.5%",1,"12.5%","25","78.1%",7,"21.9%","34","91.9%",3,"8.1%","25","89.3%",3,"10.7%","4","100.0%",0,"0.0%","74","91.4%","7","8.6%","3","100.0%","2016","july"
"Derbyshire",0,"-",0,"-","178","81.7%","40","18.3%","4","100.0%",0,"0.0%","14","82.4%",3,"17.6%",7,"100.0%",0,"0.0%","117","92.1%","10","7.9%","12","100.0%",0,"0.0%","45","83.3%",9,"16.7%","48","87.3%",7,"12.7%","49","83.1%",10,"16.9%","12","80.0%",3,"20.0%","116","82.9%","24","17.1%","22","100.0%","2016","july"
"Devon and Cornwall",2,"66.7%",1,"33.3%","221","79.2%","58","20.8%","16","88.9%",2,"11.1%","20","90.9%",2,"9.1%",4,"80.0%",1,"20.0%","112","95.7%","5","4.3%","18","75.0%",6,"25.0%","37","92.5%",3,"7.5%","52","100.0%",0,"0.0%","51","83.6%",10,"16.4%","5","100.0%",0,"0.0%","189","87.5%","27","12.5%","9","100.0%","2016","july"
"Dorset",1,"100.0%",0,"0.0%","130","87.2%","19","12.8%","10","76.9%",3,"23.1%","9","75.0%",3,"25.0%",0,"0",0,"0","77","96.3%","3","3.8%","8","100.0%",0,"0.0%","24","92.3%",2,"7.7%","42","97.7%",1,"2.3%","48","85.7%",8,"14.3%","6","100.0%",0,"0.0%","66","86.8%","10","13.2%","9","100.0%","2016","july"
"Durham",0,"0.0%",1,"100.0%","104","81.9%","23","18.1%","6","85.7%",1,"14.3%","15","93.8%",1,"6.3%",3,"75.0%",1,"25.0%","87","94.6%","5","5.4%","12","92.3%",1,"7.7%","21","80.8%",5,"19.2%","18","100.0%",0,"0.0%","23","74.2%",8,"25.8%","11","100.0%",0,"0.0%","104","94.5%","6","5.5%","7","100.0%","2016","july"
"Dyfed Powys",0,"0.0%",1,"100.0%","65","84.4%","12","15.6%","5","62.5%",3,"37.5%","4","100.0%",0,"0.0%",0,"0",0,"0","31","93.9%","2","6.1%","3","50.0%",3,"50.0%","15","100.0%",0,"0.0%","36","100.0%",0,"0.0%","34","94.4%",2,"5.6%","2","66.7%",1,"33.3%","77","83.7%","15","16.3%","6","100.0%","2016","july"
"Essex",7,"100.0%",0,"0.0%","303","80.8%","72","19.2%","45","76.3%",14,"23.7%","31","86.1%",5,"13.9%",11,"64.7%",6,"35.3%","157","89.7%","18","10.3%","26","83.9%",5,"16.1%","41","80.4%",10,"19.6%","77","95.1%",4,"4.9%","54","85.7%",9,"14.3%","10","71.4%",4,"28.6%","195","81.9%","43","18.1%","28","100.0%","2016","july"
"Gloucestershire",1,"100.0%",0,"0.0%","86","82.7%","18","17.3%","1","100.0%",0,"0.0%","16","88.9%",2,"11.1%",4,"100.0%",0,"0.0%","48","94.1%","3","5.9%","9","100.0%",0,"0.0%","12","92.3%",1,"7.7%","35","100.0%",0,"0.0%","25","69.4%",11,"30.6%","2","100.0%",0,"0.0%","57","95.0%","3","5.0%","4","100.0%","2016","july"
"GreaterManchester",3,"100.0%",0,"0.0%","566","81.7%","127","18.3%","92","72.4%",35,"27.6%","58","90.6%",6,"9.4%",19,"73.1%",7,"26.9%","248","93.9%","16","6.1%","41","85.4%",7,"14.6%","80","94.1%",5,"5.9%","127","87.0%",19,"13.0%","162","91.5%",15,"8.5%","52","94.5%",3,"5.5%","325","78.1%","91","21.9%","31","100.0%","2016","july"
"Gwent",1,"100.0%",0,"0.0%","81","82.7%","17","17.3%","7","63.6%",4,"36.4%","10","90.9%",1,"9.1%",5,"100.0%",0,"0.0%","79","92.9%","6","7.1%","6","100.0%",0,"0.0%","18","78.3%",5,"21.7%","33","94.3%",2,"5.7%","35","97.2%",1,"2.8%","3","75.0%",1,"25.0%","92","90.2%","10","9.8%","1","100.0%","2016","july"
"Hampshire",2,"100.0%",0,"0.0%","270","87.7%","38","12.3%","30","76.9%",9,"23.1%","31","86.1%",5,"13.9%",6,"100.0%",0,"0.0%","176","94.6%","10","5.4%","33","84.6%",6,"15.4%","43","87.8%",6,"12.2%","65","95.6%",3,"4.4%","63","85.1%",11,"14.9%","14","93.3%",1,"6.7%","190","92.2%","16","7.8%","13","100.0%","2016","july"
"Hertfordshire",1,"50.0%",1,"50.0%","181","85.0%","32","15.0%","15","88.2%",2,"11.8%","22","100.0%",0,"0.0%",2,"50.0%",2,"50.0%","145","89.5%","17","10.5%","31","93.9%",2,"6.1%","34","94.4%",2,"5.6%","80","97.6%",2,"2.4%","40","78.4%",11,"21.6%","8","88.9%",1,"11.1%","133","83.1%","27","16.9%","12","100.0%","2016","july"
"Humberside",1,"100.0%",0,"0.0%","160","83.8%","31","16.2%","28","70.0%",12,"30.0%","32","78.0%",9,"22.0%",6,"66.7%",3,"33.3%","140","97.9%","3","2.1%","7","100.0%",0,"0.0%","48","87.3%",7,"12.7%","51","96.2%",2,"3.8%","63","92.6%",5,"7.4%","9","90.0%",1,"10.0%","115","92.0%","10","8.0%","9","100.0%","2016","july"
"Kent",8,"100.0%",0,"0.0%","266","79.9%","67","20.1%","20","69.0%",9,"31.0%","32","88.9%",4,"11.1%",8,"100.0%",0,"0.0%","172","92.5%","14","7.5%","39","86.7%",6,"13.3%","40","83.3%",8,"16.7%","90","91.8%",8,"8.2%","45","86.5%",7,"13.5%","28","70.0%",12,"30.0%","165","87.8%","23","12.2%","23","100.0%","2016","july"
"Lancashire",2,"100.0%",0,"0.0%","230","72.6%","87","27.4%","18","94.7%",1,"5.3%","40","87.0%",6,"13.0%",12,"80.0%",3,"20.0%","186","93.0%","14","7.0%","30","90.9%",3,"9.1%","53","85.5%",9,"14.5%","76","90.5%",8,"9.5%","99","89.2%",12,"10.8%","18","72.0%",7,"28.0%","201","81.0%","47","19.0%","6","100.0%","2016","july"
"Leicestershire",1,"100.0%",0,"0.0%","135","79.9%","34","20.1%","26","76.5%",8,"23.5%","19","100.0%",0,"0.0%",2,"100.0%",0,"0.0%","104","95.4%","5","4.6%","11","84.6%",2,"15.4%","31","86.1%",5,"13.9%","36","97.3%",1,"2.7%","55","90.2%",6,"9.8%","8","72.7%",3,"27.3%","119","89.5%","14","10.5%","7","100.0%","2016","july"
"Lincolnshire",0,"-",0,"-","136","76.8%","41","23.2%","4","100.0%",0,"0.0%","12","100.0%",0,"0.0%",2,"33.3%",4,"66.7%","97","90.7%","10","9.3%","9","81.8%",2,"18.2%","31","86.1%",5,"13.9%","37","97.4%",1,"2.6%","52","78.8%",14,"21.2%","18","66.7%",9,"33.3%","134","78.8%","36","21.2%","12","100.0%","2016","july"
"Merseyside",1,"100.0%",0,"0.0%","325","86.0%","53","14.0%","30","78.9%",8,"21.1%","22","88.0%",3,"12.0%",10,"90.9%",1,"9.1%","200","97.6%","5","2.4%","25","73.5%",9,"26.5%","41","85.4%",7,"14.6%","164","94.8%",9,"5.2%","96","88.9%",12,"11.1%","18","90.0%",2,"10.0%","212","90.2%","23","9.8%","15","100.0%","2016","july"
"Metropolitan and City",21,"70.0%",9,"30.0%","1,804","67.7%","862","32.3%","143","65.6%",75,"34.4%","195","80.6%",47,"19.4%",92,"73.6%",33,"26.4%","1,022","84.0%","194","16.0%","283","84.0%",54,"16.0%","240","73.8%",85,"26.2%","1,075","91.3%",102,"8.7%","518","75.8%",165,"24.2%","106","78.5%",29,"21.5%","919","75.3%","301","24.7%","222","100.0%","2016","july"
"Norfolk",0,"-",0,"-","154","81.9%","34","18.1%","13","86.7%",2,"13.3%","20","87.0%",3,"13.0%",6,"100.0%",0,"0.0%","116","94.3%","7","5.7%","9","81.8%",2,"18.2%","40","87.0%",6,"13.0%","44","100.0%",0,"0.0%","69","92.0%",6,"8.0%","16","88.9%",2,"11.1%","98","96.1%","4","3.9%","12","100.0%","2016","july"
"Northamptonshire",0,"-",0,"-","122","77.2%","36","22.8%","7","100.0%",0,"0.0%","6","100.0%",0,"0.0%",1,"100.0%",0,"0.0%","90","91.8%","8","8.2%","4","100.0%",0,"0.0%","20","95.2%",1,"4.8%","33","100.0%",0,"0.0%","24","85.7%",4,"14.3%","11","44.0%",14,"56.0%","111","89.5%","13","10.5%","21","100.0%","2016","july"
"Northumbria",6,"85.7%",1,"14.3%","295","77.6%","85","22.4%","41","74.5%",14,"25.5%","52","83.9%",10,"16.1%",2,"33.3%",4,"66.7%","304","92.7%","24","7.3%","24","82.8%",5,"17.2%","77","80.2%",19,"19.8%","98","97.0%",3,"3.0%","158","83.6%",31,"16.4%","20","83.3%",4,"16.7%","198","84.3%","37","15.7%","13","100.0%","2016","july"
"North Wales",1,"100.0%",0,"0.0%","144","78.3%","40","21.7%","24","77.4%",7,"22.6%","19","90.5%",2,"9.5%",0,"0",0,"0","112","94.1%","7","5.9%","12","80.0%",3,"20.0%","29","87.9%",4,"12.1%","42","95.5%",2,"4.5%","45","78.9%",12,"21.1%","9","100.0%",0,"0.0%","121","86.4%","19","13.6%","6","100.0%","2016","july"
"North Yorkshire",2,"100.0%",0,"0.0%","101","75.9%","32","24.1%","10","100.0%",0,"0.0%","18","90.0%",2,"10.0%",2,"100.0%",0,"0.0%","114","91.9%","10","8.1%","4","50.0%",4,"50.0%","28","87.5%",4,"12.5%","63","92.6%",5,"7.4%","62","91.2%",6,"8.8%","12","100.0%",0,"0.0%","98","86.7%","15","13.3%","10","100.0%","2016","july"
"Nottinghamshire",5,"83.3%",1,"16.7%","225","78.1%","63","21.9%","37","84.1%",7,"15.9%","23","67.6%",11,"32.4%",16,"84.2%",3,"15.8%","189","90.4%","20","9.6%","22","78.6%",6,"21.4%","46","85.2%",8,"14.8%","132","93.6%",9,"6.4%","55","74.3%",19,"25.7%","15","78.9%",4,"21.1%","175","87.1%","26","12.9%","26","100.0%","2016","july"
"South Wales",3,"100.0%",0,"0.0%","332","72.8%","124","27.2%","28","75.7%",9,"24.3%","36","83.7%",7,"16.3%",9,"90.0%",1,"10.0%","252","92.6%","20","7.4%","19","82.6%",4,"17.4%","59","80.8%",14,"19.2%","201","95.3%",10,"4.7%","129","85.4%",22,"14.6%","19","95.0%",1,"5.0%","268","77.5%","78","22.5%","11","100.0%","2016","july"
"South Yorkshire",4,"57.1%",3,"42.9%","213","73.7%","76","26.3%","13","100.0%",0,"0.0%","25","86.2%",4,"13.8%",13,"92.9%",1,"7.1%","226","95.0%","12","5.0%","23","88.5%",3,"11.5%","60","88.2%",8,"11.8%","127","99.2%",1,"0.8%","87","95.6%",4,"4.4%","18","94.7%",1,"5.3%","174","85.7%","29","14.3%","20","100.0%","2016","july"
"Staffordshire",1,"20.0%",4,"80.0%","215","72.1%","83","27.9%","23","74.2%",8,"25.8%","30","100.0%",0,"0.0%",5,"100.0%",0,"0.0%","147","98.0%","3","2.0%","6","85.7%",1,"14.3%","48","87.3%",7,"12.7%","65","94.2%",4,"5.8%","94","81.7%",21,"18.3%","13","92.9%",1,"7.1%","162","80.6%","39","19.4%","15","100.0%","2016","july"
"Suffolk",1,"100.0%",0,"0.0%","114","85.7%","19","14.3%","7","63.6%",4,"36.4%","3","75.0%",1,"25.0%",2,"100.0%",0,"0.0%","67","91.8%","6","8.2%","9","81.8%",2,"18.2%","25","92.6%",2,"7.4%","39","97.5%",1,"2.5%","38","82.6%",8,"17.4%","6","85.7%",1,"14.3%","94","97.9%","2","2.1%","15","100.0%","2016","july"
"Surrey",1,"100.0%",0,"0.0%","115","74.7%","39","25.3%","27","84.4%",5,"15.6%","9","100.0%",0,"0.0%",6,"85.7%",1,"14.3%","50","98.0%","1","2.0%","5","83.3%",1,"16.7%","17","89.5%",2,"10.5%","37","94.9%",2,"5.1%","23","79.3%",6,"20.7%","1","100.0%",0,"0.0%","123","91.8%","11","8.2%","5","100.0%","2016","july"
"Sussex",1,"33.3%",2,"66.7%","224","78.3%","62","21.7%","21","56.8%",16,"43.2%","18","85.7%",3,"14.3%",3,"27.3%",8,"72.7%","146","91.8%","13","8.2%","16","76.2%",5,"23.8%","38","82.6%",8,"17.4%","90","94.7%",5,"5.3%","56","86.2%",9,"13.8%","12","80.0%",3,"20.0%","184","91.5%","17","8.5%","12","100.0%","2016","july"
"Thames Valley",2,"100.0%",0,"0.0%","351","74.2%","122","25.8%","40","64.5%",22,"35.5%","23","79.3%",6,"20.7%",7,"87.5%",1,"12.5%","210","90.5%","22","9.5%","24","80.0%",6,"20.0%","40","87.0%",6,"13.0%","124","96.1%",5,"3.9%","90","80.4%",22,"19.6%","22","88.0%",3,"12.0%","228","89.1%","28","10.9%","15","100.0%","2016","july"
"Warwickshire",1,"100.0%",0,"0.0%","60","82.2%","13","17.8%","8","88.9%",1,"11.1%","9","90.0%",1,"10.0%",2,"100.0%",0,"0.0%","47","88.7%","6","11.3%","11","73.3%",4,"26.7%","8","66.7%",4,"33.3%","19","90.5%",2,"9.5%","23","92.0%",2,"8.0%","5","83.3%",1,"16.7%","94","87.0%","14","13.0%","2","100.0%","2016","july"
"West Mercia",0,"-",0,"-","199","82.9%","41","17.1%","19","63.3%",11,"36.7%","18","75.0%",6,"25.0%",1,"50.0%",1,"50.0%","167","91.3%","16","8.7%","11","91.7%",1,"8.3%","35","81.4%",8,"18.6%","82","95.3%",4,"4.7%","68","84.0%",13,"16.0%","13","92.9%",1,"7.1%","182","80.2%","45","19.8%","3","100.0%","2016","july"
"West Midlands",5,"71.4%",2,"28.6%","655","75.8%","209","24.2%","83","76.9%",25,"23.1%","67","82.7%",14,"17.3%",39,"83.0%",8,"17.0%","548","92.6%","44","7.4%","67","81.7%",15,"18.3%","96","88.9%",12,"11.1%","243","94.2%",15,"5.8%","249","81.4%",57,"18.6%","75","96.2%",3,"3.8%","349","81.9%","77","18.1%","75","100.0%","2016","july"
"West Yorkshire",7,"87.5%",1,"12.5%","475","79.8%","120","20.2%","65","76.5%",20,"23.5%","56","87.5%",8,"12.5%",19,"79.2%",5,"20.8%","345","94.5%","20","5.5%","27","84.4%",5,"15.6%","89","87.3%",13,"12.7%","131","94.9%",7,"5.1%","135","83.9%",26,"16.1%","46","97.9%",1,"2.1%","298","87.4%","43","12.6%","32","100.0%","2016","july"
